Event Receive Time,Event ID,Event Type,Event Name,Incident Reporting Device,Incident Source,Source IP,Source TCP/UDP Port,Incident Target,Destination IP,Destination TCP/UDP Port,Event Severity Category,Event Severity,Count
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.133.130.139,",10.133.130.139,,"destIpAddr:120.126.175.197, destIpPort:23,",120.126.175.197,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.13.234.113,",10.13.234.113,,"destIpAddr:120.126.132.226, destIpPort:23,",120.126.132.226,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.136.151.4,",10.136.151.4,,"destIpAddr:120.126.198.176, destIpPort:23,",120.126.198.176,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_HEAVY_TCP_PORT_SCAN,Heavy TCP Port Scan: Single Destination,paloalto,"srcIpAddr:10.201.3.99,",10.201.3.99,,"destIpAddr:45.112.47.212,",45.112.47.212,,MEDIUM,7,2
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:172.16.42.139,",172.16.42.139,,"destIpAddr:120.126.166.182, destIpPort:23,",120.126.166.182,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.186.115.136,",10.186.115.136,,"destIpAddr:120.126.128.29, destIpPort:23,",120.126.128.29,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.184.63.69,",10.184.63.69,,"destIpAddr:120.126.177.165, destIpPort:23,",120.126.177.165,,HIGH,9,2
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,Sonicwall,"srcIpAddr:10.189.170.144,",10.189.170.144,,"destIpAddr:120.126.194.6, destIpPort:23,",120.126.194.6,,HIGH,9,2
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:192.168.1.21,",192.168.1.21,,"destIpAddr:120.126.148.45, destIpPort:23,",120.126.148.45,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:172.16.45.124,",172.16.45.124,,"destIpAddr:120.126.195.74, destIpPort:23,",120.126.195.74,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:172.16.42.170,",172.16.42.170,,"destIpAddr:120.126.160.21, destIpPort:23,",120.126.160.21,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.12.87.125,",10.12.87.125,,"destIpAddr:120.126.194.31, destIpPort:23,",120.126.194.31,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:192.168.1.108,",192.168.1.108,,"destIpAddr:120.126.159.123, destIpPort:23,",120.126.159.123,,HIGH,9,1
2020-07-13 16:46:56,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.0.0.110,",10.0.0.110,,"destIpAddr:120.126.170.56, destIpPort:23,",120.126.170.56,,HIGH,9,1
